x,y
-25.0,728.0
-24.0,675.0
-23.0,624.0
-22.0,575.0
-21.0,528.0
-20.0,483.0
-19.0,440.0
-18.0,399.0
-17.0,360.0
-16.0,323.0
-15.0,288.0
-14.0,255.0
-13.0,224.0
-12.0,195.0
-11.0,168.0
-10.0,143.0
-9.0,120.0
-8.0,99.0
-7.0,80.0
-6.0,63.0
-5.0,48.0
-4.0,35.0
-3.0,24.0
-2.0,15.0
-1.0,8.0
0.0,3.0
1.0,0.0
2.0,-1.0
3.0,0.0
4.0,3.0
5.0,8.0
6.0,15.0
7.0,24.0
8.0,35.0
9.0,48.0
10.0,63.0
11.0,80.0
12.0,99.0
13.0,120.0
14.0,143.0
15.0,168.0
16.0,195.0
17.0,224.0
18.0,255.0
19.0,288.0
20.0,323.0
21.0,360.0
22.0,399.0
23.0,440.0
24.0,483.0
25.0,528.0
