x,y
-50.000000,36.797140
-49.000000,44.113503
-48.000000,46.023699
-47.000000,46.739315
-46.000000,46.169404
-45.000000,42.113279
-44.000000,39.456507
-43.000000,39.908427
-42.000000,35.629687
-41.000000,28.850379
-40.000000,20.231652
-39.000000,20.905290
-38.000000,17.621583
-37.000000,23.356725
-36.000000,18.375094
-35.000000,16.600646
-34.000000,26.482177
-33.000000,25.749500
-32.000000,28.367376
-31.000000,30.490353
-30.000000,28.205041
-29.000000,26.298984
-28.000000,26.291289
-27.000000,12.471057
-26.000000,24.095496
-25.000000,23.299987
-24.000000,19.415508
-23.000000,19.808520
-22.000000,17.021313
-21.000000,19.787850
-20.000000,20.074186
-19.000000,9.282314
-18.000000,4.327082
-17.000000,7.917804
-16.000000,-2.194852
-15.000000,4.197266
-14.000000,-6.038419
-13.000000,-1.322346
-12.000000,-3.931745
-11.000000,-3.556753
-10.000000,-0.817757
-9.000000,6.999119
-8.000000,4.112531
-7.000000,13.615174
-6.000000,17.145937
-5.000000,25.536284
-4.000000,22.802122
-3.000000,12.790743
-2.000000,4.953525
-1.000000,1.511069
0.000000,-5.964383
1.000000,-13.208699
2.000000,-13.713961
3.000000,-5.165101
4.000000,4.291593
5.000000,7.736219
6.000000,13.494684
7.000000,15.661178
8.000000,22.004715
9.000000,17.191348
10.000000,10.503471
11.000000,10.999617
12.000000,11.044629
13.000000,8.327690
14.000000,6.140143
15.000000,7.994887
16.000000,16.438213
17.000000,23.243770
18.000000,23.089164
19.000000,27.408754
20.000000,21.869248
21.000000,29.602816
22.000000,23.321503
23.000000,18.446682
24.000000,16.824132
25.000000,18.205052
26.000000,12.401759
27.000000,19.045123
28.000000,22.718666
29.000000,26.938665
30.000000,25.473277
31.000000,30.715581
32.000000,32.597762
33.000000,37.453940
34.000000,34.449989
35.000000,28.129508
36.000000,29.263080
37.000000,34.882195
38.000000,39.365318
39.000000,38.144334
40.000000,43.765984
41.000000,41.218271
42.000000,43.446446
43.000000,39.329683
44.000000,31.910310
45.000000,23.515505
46.000000,27.524572
47.000000,21.477699
48.000000,25.409375
49.000000,21.708183
50.000000,24.223469
