x,y
-25.000000,728.000000
-24.000000,675.000000
-23.000000,624.000000
-22.000000,575.000000
-21.000000,528.000000
-20.000000,483.000000
-19.000000,440.000000
-18.000000,399.000000
-17.000000,360.000000
-16.000000,323.000000
-15.000000,288.000000
-14.000000,255.000000
-13.000000,224.000000
-12.000000,195.000000
-11.000000,168.000000
-10.000000,143.000000
-9.000000,120.000000
-8.000000,99.000000
-7.000000,80.000000
-6.000000,63.000000
-5.000000,48.000000
-4.000000,35.000000
-3.000000,24.000000
-2.000000,15.000000
-1.000000,8.000000
0.000000,3.000000
1.000000,0.000000
2.000000,-1.000000
3.000000,0.000000
4.000000,3.000000
5.000000,8.000000
6.000000,15.000000
7.000000,24.000000
8.000000,35.000000
9.000000,48.000000
10.000000,63.000000
11.000000,80.000000
12.000000,99.000000
13.000000,120.000000
14.000000,143.000000
15.000000,168.000000
16.000000,195.000000
17.000000,224.000000
18.000000,255.000000
19.000000,288.000000
20.000000,323.000000
21.000000,360.000000
22.000000,399.000000
23.000000,440.000000
24.000000,483.000000
25.000000,528.000000
