x,y
-25.000000,733.750826
-24.000000,691.831523
-23.000000,631.976184
-22.000000,564.937710
-21.000000,528.913176
-20.000000,490.789005
-19.000000,424.268569
-18.000000,417.561432
-17.000000,383.449416
-16.000000,313.091346
-15.000000,310.084018
-14.000000,250.531913
-13.000000,220.799011
-12.000000,212.056014
-11.000000,149.213649
-10.000000,151.392467
-9.000000,103.988446
-8.000000,78.541073
-7.000000,96.294574
-6.000000,62.378297
-5.000000,54.070595
-4.000000,24.367347
-3.000000,0.970886
-2.000000,5.624103
-1.000000,21.187821
0.000000,-6.077051
1.000000,1.181202
2.000000,16.402703
3.000000,5.504529
4.000000,13.169348
5.000000,19.353565
6.000000,29.451111
7.000000,7.677999
8.000000,43.192613
9.000000,25.515047
10.000000,83.086355
11.000000,97.184412
12.000000,103.559641
13.000000,118.354871
14.000000,122.643389
15.000000,171.121475
16.000000,203.827142
17.000000,229.747625
18.000000,239.219128
19.000000,287.031487
20.000000,347.067406
21.000000,361.596825
22.000000,380.430975
23.000000,424.692688
24.000000,478.858547
25.000000,533.897501
