x,y
-25.000000,712.791174
-24.000000,685.852844
-23.000000,629.581806
-22.000000,575.275690
-21.000000,528.213297
-20.000000,481.323583
-19.000000,444.206335
-18.000000,408.426472
-17.000000,371.367398
-16.000000,335.541593
-15.000000,291.235759
-14.000000,260.471647
-13.000000,227.795646
-12.000000,194.022891
-11.000000,170.887377
-10.000000,134.864854
-9.000000,111.307329
-8.000000,92.941364
-7.000000,79.071315
-6.000000,70.914489
-5.000000,46.938746
-4.000000,26.469609
-3.000000,10.320779
-2.000000,9.260937
-1.000000,6.911624
0.000000,5.430657
1.000000,3.835618
2.000000,7.696145
3.000000,11.692193
4.000000,12.675814
5.000000,20.658008
6.000000,18.827558
7.000000,26.773908
8.000000,25.461886
9.000000,50.598005
10.000000,68.595271
11.000000,94.610136
12.000000,106.366308
13.000000,114.852634
14.000000,137.373245
15.000000,165.864002
16.000000,201.565414
17.000000,224.264632
18.000000,251.999413
19.000000,291.106007
20.000000,331.898573
21.000000,363.031735
22.000000,388.906829
23.000000,427.994070
24.000000,479.149579
25.000000,506.378024
