x,y
-25.000000,0.735296
-24.000000,-0.811157
-23.000000,-0.692441
-22.000000,0.982297
-21.000000,2.673311
-20.000000,2.825891
-19.000000,1.299754
-18.000000,-0.501974
-17.000000,-0.922795
-16.000000,0.424193
-15.000000,2.300576
-14.000000,2.981215
-13.000000,1.840334
-12.000000,-0.073146
-11.000000,-0.999980
-10.000000,-0.088042
-9.000000,1.824237
-8.000000,2.978716
-7.000000,2.313973
-6.000000,0.441169
-5.000000,-0.917849
-4.000000,-0.513605
-3.000000,1.282240
-2.000000,2.818595
-1.000000,2.682942
0.000000,1.000000
1.000000,-0.682942
2.000000,-0.818595
3.000000,0.717760
4.000000,2.513605
5.000000,2.917849
6.000000,1.558831
7.000000,-0.313973
8.000000,-0.978716
9.000000,0.175763
10.000000,2.088042
11.000000,2.999980
12.000000,2.073146
13.000000,0.159666
14.000000,-0.981215
15.000000,-0.300576
16.000000,1.575807
17.000000,2.922795
18.000000,2.501974
19.000000,0.700246
20.000000,-0.825891
21.000000,-0.673311
22.000000,1.017703
23.000000,2.692441
24.000000,2.811157
25.000000,1.264704
