x,y
-25.000000,4.593111
-24.000000,4.100687
-23.000000,-4.403158
-22.000000,9.216765
-21.000000,14.113297
-20.000000,20.422400
-19.000000,17.902202
-18.000000,4.734529
-17.000000,-5.152888
-16.000000,-6.877269
-15.000000,-5.233438
-14.000000,-6.871735
-13.000000,-19.040229
-12.000000,-10.536626
-11.000000,-2.752272
-10.000000,3.333368
-9.000000,6.621101
-8.000000,9.786654
-7.000000,12.944503
-6.000000,0.452809
-5.000000,0.766276
-4.000000,-5.804879
-3.000000,1.885985
-2.000000,-2.766255
-1.000000,-0.331497
0.000000,-0.322900
1.000000,7.200067
2.000000,13.428352
3.000000,6.487512
4.000000,1.762356
5.000000,3.272932
6.000000,4.609826
7.000000,-5.192727
8.000000,-8.137230
9.000000,3.790178
10.000000,15.904198
11.000000,8.846420
12.000000,6.331224
13.000000,6.251546
14.000000,3.291450
15.000000,-8.584702
16.000000,-9.281970
17.000000,6.930680
18.000000,19.976373
19.000000,12.347304
20.000000,2.966827
21.000000,-2.005689
22.000000,4.708062
23.000000,13.777674
24.000000,4.941272
25.000000,1.613081
